File,Dot_Index,Centroid_X,Centroid_Y,BBox_W_px,BBox_H_px,BBox_Diam_px,BBox_Diam_mm,Body_Major_px,Body_Diam_mm,Area_px,Circularity_Raw,Circularity_Body,Grid_Row,Grid_Col,Offset_X_mm,Offset_Y_mm,Distance_Error_mm,Merged_Flag
capture_0002.pgm,1,969,34,22,23,23,0.2249,23.0,0.2249,365,1.000,1.000,0,9,-0.3316,0.2074,0.3911,NO
capture_0002.pgm,2,153,38,22,25,25,0.2445,25.0,0.2445,416,1.000,1.000,0,1,-0.3079,0.2410,0.3910,NO
capture_0002.pgm,3,1174,37,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,0,11,-0.3278,0.2381,0.4051,NO
capture_0002.pgm,4,560,38,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,0,5,-0.3295,0.2438,0.4099,NO
capture_0002.pgm,5,358,39,23,23,23,0.2249,23.0,0.2249,388,1.000,1.000,0,3,-0.3040,0.2522,0.3950,NO
capture_0002.pgm,6,768,42,21,22,22,0.2152,22.0,0.2152,338,1.000,1.000,0,7,-0.2963,0.2843,0.4106,NO
capture_0002.pgm,7,52,65,23,23,23,0.2249,23.0,0.2249,384,1.000,1.000,0,0,-0.2954,0.0871,0.3080,NO
capture_0002.pgm,8,458,79,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,0,4,-0.3269,0.2268,0.3978,NO
capture_0002.pgm,9,870,81,21,21,21,0.2054,21.0,0.2054,317,1.000,1.000,0,8,-0.2996,0.2491,0.3896,NO
capture_0002.pgm,10,1077,81,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,0,10,-0.2762,0.2505,0.3728,NO
capture_0002.pgm,11,664,82,22,21,22,0.2152,22.0,0.2152,338,1.000,1.000,0,6,-0.3132,0.2575,0.4055,NO
capture_0002.pgm,12,257,85,24,24,24,0.2347,24.0,0.2347,431,1.000,1.000,0,2,-0.2916,0.2841,0.4071,NO
capture_0002.pgm,13,561,125,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,1,5,-0.3203,0.2438,0.4025,NO
capture_0002.pgm,14,970,125,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,1,9,-0.3224,0.2465,0.4059,NO
capture_0002.pgm,15,359,127,23,24,24,0.2347,24.0,0.2347,397,1.000,1.000,1,3,-0.2949,0.2620,0.3944,NO
capture_0002.pgm,16,151,129,22,23,23,0.2249,23.0,0.2249,368,1.000,1.000,1,1,-0.3280,0.2801,0.4314,NO
capture_0002.pgm,17,1176,128,22,23,23,0.2249,23.0,0.2249,372,1.000,1.000,1,11,-0.3088,0.2772,0.4150,NO
capture_0002.pgm,18,769,130,22,24,24,0.2347,24.0,0.2347,390,1.000,1.000,1,7,-0.2871,0.2941,0.4110,NO
capture_0002.pgm,19,47,150,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,1,0,-0.3449,0.0676,0.3515,NO
capture_0002.pgm,20,667,166,23,23,23,0.2249,23.0,0.2249,405,1.000,1.000,1,6,-0.2845,0.2282,0.3647,NO
capture_0002.pgm,21,460,168,23,23,23,0.2249,23.0,0.2249,384,1.000,1.000,1,4,-0.3079,0.2464,0.3943,NO
capture_0002.pgm,22,869,169,23,24,24,0.2347,24.0,0.2347,414,1.000,1.000,1,8,-0.3100,0.2589,0.4038,NO
capture_0002.pgm,23,1076,168,21,22,22,0.2152,22.0,0.2152,338,1.000,1.000,1,10,-0.2865,0.2505,0.3806,NO
capture_0002.pgm,24,257,170,23,22,23,0.2249,23.0,0.2249,368,1.000,1.000,1,2,-0.2922,0.2645,0.3941,NO
capture_0002.pgm,25,766,211,24,23,24,0.2347,24.0,0.2347,398,1.000,1.000,2,7,-0.3171,0.2354,0.3949,NO
capture_0002.pgm,26,971,210,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,2,9,-0.3132,0.2270,0.3868,NO
capture_0002.pgm,27,560,212,21,21,21,0.2054,21.0,0.2054,317,1.000,1.000,2,5,-0.3307,0.2438,0.4108,NO
capture_0002.pgm,28,151,213,23,23,23,0.2249,23.0,0.2249,383,1.000,1.000,2,1,-0.3286,0.2508,0.4134,NO
capture_0002.pgm,29,360,214,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,2,3,-0.2857,0.2620,0.3876,NO
